Company,Sector,Industry,CompanyType,HeadquartersState,2023_Rank,2023_Profitable,2023_Founder_is_CEO,2023_FemaleCEO,2023_Growth_in_Jobs,2023_Change_in_Rank,2023_Gained_in_Rank,2023_Dropped_in_Rank,2023_Newcomer_to_the_Fortune500,2023_Global500,2023_Best_Companies,2023_Number_of_employees,2023_MarketCap_March31_M,2023_Revenues_M,2023_RevenuePercentChange,2023_Profits_M,2023_ProfitsPercentChange,2023_Assets_M,2023_CEO,2023_MarketCap_Updated_M,2023_Year,2024_Rank,2024_Profitable,2024_Founder_is_CEO,2024_FemaleCEO,2024_Growth_in_Jobs,2024_Change_in_Rank,2024_Gained_in_Rank,2024_Dropped_in_Rank,2024_Newcomer_to_the_Fortune500,2024_Global500,2024_Worlds_Most_Admired_Companies,2024_Best_Companies_to_Work_For,2024_Number_of_employees,2024_MarketCap_March28_M,2024_Revenues_M,2024_RevenuePercentChange,2024_Profits_M,2024_ProfitsPercentChange,2024_Assets_M,2024_CEO,2024_MarketCap_Updated_M,2024_Year
FedEx,Transportation,"Mail, Package, and Freight Delivery",Public,Tennessee,41,yes,no,no,no,-2,no,yes,no,yes,no,464400,57431,93512,11,3826,-27,85994,Rajesh Subramaniam,63985,2023,46,yes,no,no,no,-5,no,yes,no,yes,yes,no,446400,71299,90155,-4,3972,4,87143,Rajesh Subramaniam,74517,2024
Fidelity National Financial,Financials,Insurance: Property and Casualty (Stock),Public,Florida,359,yes,no,no,no,-121,no,yes,no,no,no,21759,9508,11556,-26,1136,-53,65589,Michael J. Nolan,9508,2023,351,yes,no,no,yes,8,yes,no,no,no,no,no,22293,14507,11752,2,517,-54,80614,Michael J. Nolan,14507,2024
Fidelity National Information Services,Business Services,Financial Data Services,Public,Florida,283,no,no,yes,yes,-15,no,yes,no,no,no,69000,32160,14528,5,-16720,-4110,63278,Stephanie L. Ferris,32160,2023,288,no,no,yes,no,-5,no,yes,no,no,no,no,60000,42762,14680,1,-6654,0,55105,Stephanie L. Ferris,42762,2024
Fifth Third Bancorp,Financials,Commercial Banks,Public,Ohio,411,yes,no,no,yes,4,yes,no,no,no,no,19319,18143,9353,12,2446,-12,207452,Timothy N. Spence,18143,2023,321,yes,no,no,no,90,yes,no,no,no,yes,no,18724,25435,12641,35,2349,-4,214574,Timothy N. Spence,25435,2024
First American Financial,Financials,Insurance: Property and Casualty (Stock),Public,California,481,yes,no,no,no,-98,no,yes,no,no,yes,21153,5750,7605,-18,263,-79,14955,Kenneth D. DeGiorgio,5750,2023,570,yes,no,no,no,-89,no,yes,,no,no,yes,19210,6294,6004,-21,217,-18,16803,Kenneth D. DeGiorgio,6294,2024
First Citizens BancShares,Financials,Commercial Banks,Public,North Carolina,602,yes,no,no,yes,0,,,,no,no,10530,14032,5549,183,1098,101,109298,Frank B. Holding Jr.,14032,2023,182,yes,no,no,yes,420,yes,no,yes,no,no,no,15868,23620,22466,305,11466,944,213758,Frank B. Holding Jr.,23620,2024
First Horizon,Financials,Commercial Banks,Public,Tennessee,821,yes,no,no,no,-27,no,yes,,no,no,7397,9554,3498,8,900,-10,78953,D. Bryan Jordan,9554,2023,640,yes,no,no,no,181,yes,no,,no,no,no,7314,8546,5027,44,897,0,81661,D. Bryan Jordan,8546,2024
First Republic Bank,Financials,Commercial Banks,Public,California,525,yes,no,no,yes,50,yes,no,,no,no,7213,2605,6753,27,1665,13,212639,Michael J. Roffler,2605,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
First Solar,Energy,Energy,Public,Arizona,958,no,no,no,yes,-109,no,yes,,no,no,5500,23234,2619,-10,-44,-109,8251,Mark R. Widmar,23234,2023,843,yes,no,no,yes,115,yes,no,,no,no,no,6700,18068,3319,27,831,0,10365,Mark R. Widmar,18068,2024
FirstCash Holdings,Retailing,Specialty Retailers: Other,Public,Texas,938,yes,no,no,yes,0,,,,no,no,18000,4415,2729,61,254,103,3905,Rick L. Wessel,4415,2023,860,yes,no,no,yes,78,yes,no,,no,no,no,19000,5753,3152,16,219,-14,4290,Rick L. Wessel,5753,2024
FirstEnergy,Energy,Utilities: Gas and Electric,Public,Ohio,343,yes,no,no,no,0,,,no,no,no,12335,22924,12053,12,406,-68,46108,Brian X. Tierney,22924,2023,331,yes,no,no,no,12,yes,no,no,no,no,no,12042,22226,12450,3,1102,171,48767,Brian X. Tierney,22226,2024
Fiserv,Business Services,Financial Data Services,Public,Wisconsin,230,yes,no,no,no,-3,no,yes,no,no,no,41000,70997,17737,9,2530,90,83869,Frank J. Bisignano,70997,2023,215,yes,no,no,yes,15,yes,no,no,no,yes,no,42000,94358,19093,8,3068,21,90890,Frank J. Bisignano,94358,2024
Five Below,Retailing,Specialty Retailers: Other,Public,Pennsylvania,880,yes,no,no,yes,-16,no,yes,,no,no,14200,11463,3076,8,262,-6,3325,Joel D. Anderson,11463,2023,808,yes,no,no,yes,72,yes,no,,no,no,no,14500,10018,3559,16,301,15,3872,Kenneth R. Bull,10019,2024
Fleetcor Technologies,Business Services,Financial Data Services,Public,Georgia,831,yes,no,no,yes,37,yes,no,,no,no,9900,15496,3427,21,954,14,14089,Ronald F. Clarke,15496,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Floor & Decor Holdings,Retailing,Specialty Retailers: Other,Public,Georgia,718,yes,no,no,yes,46,yes,no,,no,no,10633,10457,4265,24,298,5,4351,Thomas V. Taylor,10457,2023,695,yes,no,no,yes,23,yes,no,,no,no,no,11320,13871,4414,4,246,-18,4663,Thomas V. Taylor,13871,2024
Flowers Foods,"Food, Beverages & Tobacco",Food Consumer Products,Public,Georgia,664,yes,no,no,yes,0,,,,no,no,9200,5791,4806,11,228,11,3313,A. Ryals McMullian,5791,2023,639,yes,no,no,yes,25,yes,no,,no,no,no,9300,5001,5091,6,123,-46,3427,A. Ryals McMullian,5001,2024
Flowserve,Industrials,Industrial Machinery,Public,Texas,800,yes,no,no,no,-56,no,yes,,no,no,16000,4458,3615,2,189,50,4791,R. Scott Rowe,4458,2023,703,yes,no,no,no,97,yes,no,,no,no,no,16000,5994,4321,20,187,-1,5109,R. Scott Rowe,5994,2024
Fluor,Engineering & Construction,Engineering & Construction,Public,Texas,303,yes,no,no,no,-44,no,yes,no,no,no,39576,4392,13744,-3,145,0,6827,David E. Constable,4392,2023,265,yes,no,no,no,38,yes,no,no,no,no,no,30187,7192,15474,13,139,-4,6973,David E. Constable,7192,2024
FM Global,Financials,Insurance: Property and Casualty (Stock),Private,Rhode Island,708,no,no,no,no,-290,no,yes,,no,no,5445,0,4392,-47,-296,-110,30734,Malcolm C. Roberts,0,2023,418,yes,no,no,yes,290,yes,no,yes,no,no,no,5667,0,9359,113,3748,0,34479,Malcolm C. Roberts,0,2024
FMC,Chemicals,Chemicals,Public,Pennsylvania,589,yes,no,no,yes,14,yes,no,,no,no,6600,15284,5802,15,737,0,11171,Mark A. Douglas,15284,2023,688,yes,no,no,no,-99,no,yes,,no,no,no,6600,7951,4487,-23,1322,79,11926,Pierre R. Brondeau,7951,2024
Foot Locker,Retailing,Specialty Retailers: Apparel,Public,New York,432,yes,no,yes,no,-42,no,yes,no,no,no,31040,3708,8759,-2,342,-62,7907,Mary N. Dillon,3708,2023,458,no,no,yes,no,-26,no,yes,no,no,no,no,30591,2693,8168,-7,-330,-196,6868,Mary N. Dillon,2693,2024
Ford Motor,Motor Vehicles & Parts,Motor Vehicles & Parts,Public,Michigan,19,no,no,no,no,3,yes,no,no,yes,no,173000,50400,158057,16,-1981,-111,255884,James D. Farley Jr.,56371,2023,17,yes,no,no,yes,2,yes,no,no,yes,no,no,177000,53018,176191,12,4347,0,273310,James D. Farley Jr.,56811,2024
Fortinet,Technology,Computer Software,Public,California,703,yes,yes,no,yes,75,yes,no,,no,no,12595,52109,4417,32,857,41,6228,Ken Xie,52109,2023,622,yes,yes,no,yes,81,yes,no,,no,no,no,13568,52123,5305,20,1148,34,7259,Ken Xie,52123,2024
Fortive,Industrials,"Electronics, Electrical Equip.",Public,Washington,587,yes,no,no,no,-8,no,yes,,no,no,18000,24078,5826,11,755,24,15891,James A. Lico,24078,2023,562,yes,no,no,no,25,yes,no,,no,no,no,18000,30226,6065,4,866,15,16912,James A. Lico,30226,2024
Fortune Brands Innovations,Materials,"Building Materials, Glass",Public,Illinois,469,yes,no,no,no,-25,no,yes,no,no,no,11200,7457,7923,4,687,-11,6121,Nicholas I. Fink,7457,2023,676,yes,no,no,yes,-207,no,yes,,no,no,no,11700,10643,4626,-42,404,-41,6565,Nicholas I. Fink,10643,2024
Fox,Media,Entertainment,Public,New York,300,yes,no,no,yes,-13,no,yes,no,no,no,10600,17551,13974,8,1205,-44,22185,Lachlan K. Murdoch,17551,2023,277,yes,no,no,no,23,yes,no,no,no,no,no,10400,14225,14913,7,1239,3,21866,Lachlan K. Murdoch,14225,2024
Franchise Group,Retailing,Specialty Retailers: Other,Public,Ohio,706,no,no,no,no,68,yes,no,,no,no,11406,952,4398,31,-69,-119,3630,Brian R. Kahn,952,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Franklin Resources,Financials,Securities,Public,California,456,yes,no,yes,no,-45,no,yes,no,no,no,9800,13480,8275,-2,1292,-30,28061,Jennifer M. Johnson,13480,2023,468,yes,no,yes,no,-12,no,yes,no,no,no,no,9200,14802,7849,-5,883,-32,30121,Jennifer M. Johnson,14802,2024
Freddie Mac,Financials,Diversified Financials,Public,Virginia,45,yes,no,no,yes,11,yes,no,no,yes,no,7819,266,86717,32,9327,-23,3208333,Michael J. DeVito,1429,2023,36,yes,no,no,yes,9,yes,no,no,yes,no,no,8020,878,108050,25,10538,13,3280976,Michael T. Hutchins,4528,2024
Freeport-McMoRan,Energy,"Mining, Crude-Oil Production",Public,Arizona,171,yes,no,no,yes,-14,no,yes,no,no,no,25600,58530,22780,0,3468,-20,51093,Richard C. Adkerson,58530,2023,178,yes,no,yes,yes,-7,no,yes,no,no,no,no,27200,67446,22855,0,1848,-47,52506,Kathleen L. Quirk,67446,2024
Frontier Communications,Telecommunications,Telecommunications,Public,Texas,590,yes,no,no,no,-91,no,yes,,no,no,14708,5580,5787,-10,441,0,18624,Nick Jeffery,5580,2023,586,yes,no,no,no,4,yes,no,,no,no,no,13297,6023,5751,-1,29,-93,20693,Nick Jeffery,6023,2024
Frontier Group Holdings,Transportation,Airlines,Public,Colorado,846,no,no,no,yes,0,,,,no,no,6450,2146,3326,62,-37,0,4499,Barry L. Biffle,2146,2023,806,no,no,no,yes,40,yes,no,,no,no,no,7214,1812,3589,8,-11,0,4993,Barry L. Biffle,1812,2024
FTI Consulting,Business Services,Diversified Outsourcing Services,Public,District Of Columbia,888,yes,no,no,yes,-6,no,yes,,no,no,7635,6695,3029,9,236,0,3241,Steven H. Gunby,6695,2023,817,yes,no,no,yes,71,yes,no,,no,no,no,7990,7472,3489,15,275,17,3326,Steven H. Gunby,7472,2024
G-III Apparel Group,Apparel,Apparel,Public,New York,865,no,no,no,yes,20,yes,no,,no,no,4150,723,3227,17,-133,-166,2712,Morris Goldfarb,723,2023,873,yes,no,no,no,-8,no,yes,,no,no,no,4050,1318,3098,-4,176,0,2681,Morris Goldfarb,1318,2024
GameStop,Retailing,Specialty Retailers: Other,Public,Texas,577,no,no,no,no,-51,no,yes,,no,no,21250,7014,5927,-1,-313,0,3113,Ryan Cohen,7014,2023,624,yes,no,no,no,-47,no,yes,,no,no,no,15750,3830,5273,-11,7,0,2709,Ryan Cohen,3830,2024
Gannett,Media,"Publishing, Printing",Public,Virginia,901,no,no,no,no,-100,no,yes,,no,no,14200,273,2945,-8,-78,0,2394,Michael E. Reed,273,2023,966,no,no,no,no,-65,no,yes,,no,no,no,12800,363,2664,-10,-28,0,2181,Michael E. Reed,363,2024
Gap,Retailing,Specialty Retailers: Apparel,Public,California,265,no,no,no,no,-45,no,yes,no,no,no,95000,3693,15616,-6,-202,-179,11386,Richard Dickson,3693,2023,278,yes,no,no,no,-13,no,yes,no,no,no,no,85000,10290,14889,-5,502,0,11044,Richard Dickson,10290,2024
Garrett Motion,Motor Vehicles & Parts,Motor Vehicles & Parts,Public,Michigan,801,yes,no,no,yes,-65,no,yes,,no,no,8300,497,3603,-1,390,0,2637,Olivier Rabiller,497,2023,763,yes,no,no,yes,38,yes,no,,no,no,no,8650,2263,3886,8,261,-33,2527,Olivier Rabiller,2263,2024
Gartner,Technology,Information Technology Services,Public,Connecticut,606,yes,no,no,yes,27,yes,no,,no,no,19500,25756,5476,16,808,2,7300,Eugene A. Hall,25756,2023,576,yes,no,no,yes,30,yes,no,,no,yes,no,20237,37165,5907,8,882,9,7836,Eugene A. Hall,37165,2024
Gen Digital,Technology,Computer Software,Public,Arizona,919,yes,no,no,no,-2,no,yes,,no,no,2700,10968,2796,10,836,51,6943,Vincent Pilette,10968,2023,840,yes,no,no,yes,79,yes,no,,no,no,no,3700,14267,3338,19,1349,61,15947,Vincent Pilette,14267,2024
Generac Holdings,Industrials,Industrial Machinery,Public,Wisconsin,690,yes,no,no,yes,33,yes,no,,no,no,9330,6685,4565,22,400,-27,5170,Aaron P. Jagdfeld,6685,2023,744,yes,no,no,no,-54,no,yes,,no,no,no,8458,7602,4023,-12,215,-46,5093,Aaron P. Jagdfeld,7602,2024
General Dynamics,Aerospace & Defense,Aerospace & Defense,Public,Virginia,105,yes,no,yes,yes,-11,no,yes,no,yes,no,106500,62692,39407,2,3390,4,51585,Phebe N. Novakovic,59358,2023,104,yes,no,yes,yes,1,yes,no,no,yes,yes,no,111600,77506,42272,7,3315,-2,54810,Phebe N. Novakovic,78309,2024
General Electric,Industrials,Industrial Machinery,Public,Massachusetts,52,yes,no,no,yes,-4,no,yes,no,yes,no,172000,104231,76555,3,225,0,187788,H. Lawrence Culp Jr.,121027,2023,56,yes,no,no,no,-4,no,yes,no,yes,no,no,125000,191901,67954,-11,9481,4114,163045,H. Lawrence Culp Jr.,174655,2024
General Mills,"Food, Beverages & Tobacco",Food Consumer Products,Public,Minnesota,219,yes,no,no,no,-18,no,yes,no,no,no,32500,50195,18993,5,2707,16,31090,Jeffrey L. Harmening,50195,2023,203,yes,no,no,yes,16,yes,no,no,no,yes,no,34000,39502,20094,6,2594,-4,31452,Jeffrey L. Harmening,39502,2024
General Motors,Motor Vehicles & Parts,Motor Vehicles & Parts,Public,Michigan,21,yes,no,yes,yes,4,yes,no,no,yes,no,167000,51155,156735,23,9934,-1,264037,Mary T. Barra,53867,2023,19,yes,no,yes,no,2,yes,no,no,yes,no,no,163000,52354,171842,10,10127,2,273064,Mary T. Barra,56222,2024
Genesis Energy,Energy,Pipelines,Public,Texas,922,yes,no,no,yes,72,yes,no,,no,no,2099,1380,2789,31,76,0,6366,Grant E. Sims,1380,2023,858,yes,no,no,yes,64,yes,no,,no,no,no,2137,1362,3177,14,118,56,7019,Grant E. Sims,1362,2024
Genuine Parts,Wholesalers,Wholesalers: Diversified,Public,Georgia,179,yes,no,no,yes,12,yes,no,no,no,no,58000,23559,22096,17,1183,32,16495,Paul D. Donahue,23559,2023,175,yes,no,no,yes,4,yes,no,no,no,no,no,60000,21601,23091,4,1316,11,17968,William P. Stengel II,21601,2024
Genworth Financial,Financials,"Insurance: Life, Health (stock)",Public,Virginia,486,yes,no,no,no,-52,no,yes,no,no,no,2500,2477,7507,-5,609,-33,86442,Thomas J. McInerney,2477,2023,477,yes,no,no,yes,9,yes,no,no,no,no,no,2700,2826,7488,0,76,-88,90817,Thomas J. McInerney,2826,2024
Gilead Sciences,Health Care,Pharmaceuticals,Public,California,150,yes,no,no,yes,-21,no,yes,no,no,no,17000,103614,27281,0,4592,-26,63171,Daniel P. O&#039;Day,103614,2023,154,yes,no,no,yes,-4,no,yes,no,no,no,no,18000,91340,27116,-1,5665,23,62125,Daniel P. O'Day,91341,2024
Global Partners,Wholesalers,Wholesalers: Diversified,Public,Massachusetts,220,yes,no,no,yes,60,yes,no,no,no,no,3585,1055,18878,42,362,496,3161,Eric Slifka,1055,2023,247,yes,no,no,yes,-27,no,yes,no,no,yes,no,4273,1509,16492,-13,152,-58,3446,Eric Slifka,1509,2024
Global Payments,Business Services,Financial Data Services,Public,Georgia,425,yes,no,no,no,-18,no,yes,no,no,no,25000,27761,8976,5,112,-88,44809,Cameron M. Bready,27761,2023,410,yes,no,no,yes,15,yes,no,no,no,no,no,27000,34095,9654,8,986,785,50570,Cameron M. Bready,34095,2024
Globe Life,Financials,"Insurance: Life, Health (stock)",Public,Texas,632,yes,no,no,yes,-38,no,yes,,no,no,3543,10619,5215,2,740,-1,25537,Frank W. Svoboda/J. Matthew Darden,10619,2023,607,yes,no,no,yes,25,yes,no,,no,no,no,3636,10943,5448,4,971,31,28052,Frank M. Svoboda,10943,2024
GMS,Wholesalers,Wholesalers: Diversified,Public,Georgia,678,yes,no,no,no,108,yes,no,,no,no,5475,2391,4635,40,273,159,3104,John C. Turner Jr.,2391,2023,618,yes,no,no,yes,60,yes,no,,no,no,no,7007,3877,5329,15,333,22,3267,John C. Turner Jr.,3877,2024
GoDaddy,Technology,Internet Services and Retailing,Public,Arizona,735,yes,no,no,yes,-23,no,yes,,no,no,6910,11956,4091,7,352,45,6974,Aman Bhutani,11956,2023,713,yes,no,no,no,22,yes,no,,no,no,no,6159,16909,4254,4,1375,290,7565,Aman Bhutani,16909,2024
Goldman Sachs Group,Financials,Commercial Banks,Public,New York,55,yes,no,no,yes,2,yes,no,no,yes,no,48500,113964,68711,6,11261,-48,1441799,David M. Solomon,113555,2023,35,yes,no,no,no,20,yes,no,no,yes,yes,no,45300,135552,108418,58,8516,-24,1641594,David M. Solomon,164412,2024
Goodyear Tire & Rubber,Motor Vehicles & Parts,Motor Vehicles & Parts,Public,Ohio,191,yes,no,no,yes,18,yes,no,no,no,no,74000,3122,20805,19,202,-74,22431,Richard J. Kramer,3122,2023,204,no,no,no,no,-13,no,yes,no,no,no,no,71000,3901,20066,-4,-689,-441,21582,Mark W. Stewart,3901,2024
Graham Holdings,Business Services,Education,Public,Virginia,755,yes,no,no,yes,49,yes,no,,no,no,16485,2850,3925,23,67,-81,6582,Timothy J. O?Shaughnessy,2850,2023,694,yes,no,no,yes,61,yes,no,,no,no,no,17006,3422,4415,12,205,206,7188,Timothy J. O?Shaughnessy,3422,2024
Granite Construction,Engineering & Construction,Engineering & Construction,Public,California,853,yes,no,no,yes,-104,no,yes,,no,no,3800,1797,3301,-6,83,725,2168,Kyle T. Larkin,1797,2023,815,yes,no,no,yes,38,yes,no,,no,yes,no,4100,2512,3509,6,44,-48,2814,Kyle T. Larkin,2512,2024
Graphic Packaging Holding,Materials,"Packaging, Containers",Public,Georgia,409,yes,no,no,no,57,yes,no,no,no,no,24000,7829,9440,32,522,156,10328,Michael P. Doss,7829,2023,416,yes,no,no,no,-7,no,yes,no,no,yes,no,23500,8931,9428,0,723,38,11175,Michael P. Doss,8931,2024
Gray Television,Media,Entertainment,Public,Georgia,792,yes,no,no,yes,143,yes,no,,no,no,9168,809,3676,52,455,406,11152,Patrick D. LaPlatney/Hilton H. Howell Jr.,809,2023,850,no,no,no,yes,-58,no,yes,,no,no,no,9649,635,3281,-11,-76,-117,10640,Patrick D. LaPlatney/Hilton H. Howell Jr.,635,2024
Graybar Electric,Wholesalers,Wholesalers: Diversified,Private,Missouri,378,yes,no,yes,yes,21,yes,no,no,no,no,9400,0,10534,20,453,73,3749,Kathleen M. Mazzarella,0,2023,367,yes,no,yes,yes,11,yes,no,no,no,yes,no,9500,0,11042,5,463,2,4006,Kathleen M. Mazzarella,0,2024
Green Plains,Energy,Energy,Public,Nebraska,793,no,no,no,yes,77,yes,no,,no,no,902,1844,3663,30,-127,0,2123,Todd A. Becker,1844,2023,845,no,no,no,yes,-52,no,yes,,no,no,no,921,1495,3296,-10,-93,0,1939,Todd A. Becker,1495,2024
Greenbrier,Transportation,Transportation Equipment,Public,Oregon,896,yes,no,yes,yes,0,,,,no,no,14400,1055,2978,70,47,44,3852,Lorie L. Tekorius,1055,2023,757,yes,no,yes,no,139,yes,no,,no,no,no,13800,1620,3944,32,62,33,3978,Lorie L. Tekorius,1620,2024
Greif,Materials,"Packaging, Containers",Public,Ohio,549,yes,no,no,no,12,yes,no,,no,no,12000,3292,6350,14,377,-4,5470,Ole G. Rosgaard,3292,2023,628,yes,no,no,no,-79,no,yes,,no,no,no,12000,3264,5219,-18,359,-5,5961,Ole G. Rosgaard,3264,2024
Griffon,Materials,"Building Materials, Glass",Public,New York,892,no,no,no,no,27,yes,no,,no,no,6200,1831,3010,18,-192,-342,2817,Ronald J. Kramer,1831,2023,959,yes,no,no,no,-67,no,yes,,no,no,no,5700,3763,2685,-11,78,0,2419,Ronald J. Kramer,3763,2024
Grocery Outlet Holding,Food & Drug Stores,Food & Drug Stores,Public,California,805,yes,no,no,yes,11,yes,no,,no,no,917,2761,3578,16,65,4,2772,Robert J. Sheedy Jr.,2761,2023,750,yes,no,no,yes,55,yes,no,,no,no,no,949,2856,3970,11,79,22,2970,Robert J. Sheedy Jr.,2856,2024
Group 1 Automotive,Retailing,"Automotive Retailing, Services",Public,Texas,252,yes,no,no,yes,21,yes,no,no,no,no,15491,3194,16412,19,752,36,6718,Daryl A. Kenningham,3194,2023,229,yes,no,no,yes,23,yes,no,no,no,no,no,16011,3999,17874,9,602,-20,7774,Daryl A. Kenningham,3999,2024
Guardian Life Ins. Co. of America,Financials,"Insurance: Life, Health (Mutual)",Private,New York,281,yes,no,no,no,-34,no,yes,no,no,no,8025,0,14653,0,71,-75,91620,Andrew J. McMahon,0,2023,252,yes,no,no,no,29,yes,no,no,no,no,no,7561,0,16137,10,375,428,96202,Andrew J. McMahon,0,2024
Guess,Retailing,Specialty Retailers: Apparel,Public,California,948,yes,no,no,no,-37,no,yes,,no,no,12500,1067,2687,4,150,-13,2425,Carlos E. Alberini,1067,2023,938,yes,no,no,no,10,yes,no,,no,no,no,12000,1690,2776,3,198,32,2590,Carlos E. Alberini,1690,2024
GXO Logistics,Transportation,Transportation and Logistics,Public,Connecticut,423,yes,no,no,yes,7,yes,no,no,no,no,112000,5993,8993,13,197,29,9219,Malcolm Wilson,5993,2023,402,yes,no,no,no,21,yes,no,no,no,no,no,109000,6412,9778,9,229,16,9507,Malcolm Wilson,6412,2024
H.B. Fuller,Chemicals,Chemicals,Public,Minnesota,781,yes,no,yes,yes,6,yes,no,,no,no,7000,3685,3749,14,180,12,4464,Celeste B. Mastin,3685,2023,814,yes,no,yes,yes,-33,no,yes,,no,no,no,7200,4345,3511,-6,145,-20,4724,Celeste B. Mastin,4345,2024
H&R Block,Financials,Diversified Financials,Public,Missouri,828,yes,no,no,no,-87,no,yes,,no,no,36850,5368,3463,-4,554,-19,3269,Jeffrey J. Jones II,5368,2023,822,yes,no,no,yes,6,yes,no,,no,no,no,39200,6852,3472,0,554,0,3072,Jeffrey J. Jones II,6852,2024
Halliburton,Energy,"Oil and Gas Equipment, Services",Public,Texas,197,yes,no,no,yes,44,yes,no,no,no,no,45000,28605,20297,33,1572,8,23255,Jeffrey A. Miller,28605,2023,177,yes,no,no,yes,20,yes,no,no,no,no,no,48000,35088,23018,13,2638,68,24683,Jeffrey A. Miller,35088,2024
Hanesbrands,Apparel,Apparel,Public,North Carolina,551,no,no,no,no,-93,no,yes,,no,no,50500,1838,6335,-14,-127,-265,6504,Stephen B. Bratspies,1838,2023,590,no,no,no,no,-39,no,yes,,no,no,no,47520,2039,5636,-11,-18,0,5640,Stephen B. Bratspies,2039,2024
Hanover Insurance Group,Financials,Insurance: Property and Casualty (Stock),Public,Massachusetts,608,yes,no,no,yes,-25,no,yes,,no,no,4600,4590,5469,5,116,-72,13997,John C. Roche,4590,2023,571,yes,no,no,yes,37,yes,no,,no,no,no,4800,4892,5994,10,35,-70,14613,John C. Roche,4893,2024
Harley-Davidson,Transportation,Transportation Equipment,Public,Wisconsin,592,yes,no,no,yes,-20,no,yes,,no,no,6300,5551,5755,8,741,14,11493,Jochen Zeitz,5551,2023,585,yes,no,no,yes,7,yes,no,,no,no,no,6400,5973,5836,1,707,-5,12141,Jochen Zeitz,5973,2024
Hartford Financial Services Group,Financials,Insurance: Property and Casualty (Stock),Public,Connecticut,174,yes,no,no,yes,-14,no,yes,no,no,no,18800,21817,22362,0,1815,-23,73022,Christopher J. Swift,21817,2023,166,yes,no,no,no,8,yes,no,no,no,no,no,18700,30637,24527,10,2504,38,76780,Christopher J. Swift,30637,2024
Hasbro,Household Products,"Toys, Sporting Goods",Public,Rhode Island,585,yes,no,no,no,-89,no,yes,,no,no,6490,7421,5857,-9,204,-52,9296,Christian P. Cocks,7421,2023,642,no,no,no,no,-57,no,yes,,no,no,no,5502,7844,5003,-15,-1489,-832,6541,Christian P. Cocks,7845,2024
Hawaiian Electric Industries,Energy,Utilities: Gas and Electric,Public,Hawaii,784,yes,no,no,yes,79,yes,no,,no,no,3698,4208,3742,31,241,-2,16284,Scott W.H. Seu,4208,2023,797,yes,no,no,no,-13,no,yes,,no,no,no,3652,1243,3682,-2,199,-17,17244,Scott W.H. Seu,1243,2024
Hawaiian Holdings,Transportation,Airlines,Public,Hawaii,954,no,no,no,yes,0,,,,no,no,7108,471,2641,65,-240,0,4140,Peter R. Ingram,471,2023,952,no,no,no,yes,2,yes,no,,no,no,no,7362,691,2716,3,-260,0,3734,Peter R. Ingram,691,2024
HCA Healthcare,Health Care,Health Care: Medical Facilities,Public,Tennessee,66,yes,no,no,yes,-4,no,yes,no,yes,no,250500,73107,60233,2,5643,-19,52438,Samuel N. Hazen,80317,2023,61,yes,no,no,yes,5,yes,no,no,yes,yes,no,265000,88214,64968,8,5242,-7,56211,Samuel N. Hazen,83022,2024
Henry Schein,Health Care,Wholesalers: Health Care,Public,New York,325,yes,no,no,yes,-26,no,yes,no,no,no,22000,10705,12647,2,538,-15,8607,Stanley M. Bergman,10705,2023,333,yes,no,no,yes,-8,no,yes,no,no,no,no,25000,9705,12339,-2,416,-23,10573,Stanley M. Bergman,9705,2024
Herc Holdings,Business Services,Equipment Leasing,Public,Florida,935,yes,no,no,yes,0,,,,no,no,6600,3328,2739,32,330,47,5957,Lawrence H. Silber,3328,2023,849,yes,no,no,yes,86,yes,no,,no,no,no,7200,4773,3282,20,347,5,7061,Lawrence H. Silber,4773,2024
Hershey,"Food, Beverages & Tobacco",Food Consumer Products,Public,Pennsylvania,380,yes,no,yes,yes,8,yes,no,no,no,no,18970,51909,10419,16,1645,11,10949,Michele G. Buck,51909,2023,361,yes,no,yes,yes,19,yes,no,no,no,no,no,19578,39719,11165,7,1862,13,11903,Michele G. Buck,39719,2024
